,user,text,favorite_count,retweet_count,created_at
61,elonmusk,@BillyM2k Someone just normal would be great,27892,1483,2023-05-10 15:49:35+00:00
62,elonmusk,@paulg !!,2278,151,2023-05-10 15:06:16+00:00
63,elonmusk,@ZubyMusic Upgrades are coming,5611,374,2023-05-10 15:05:49+00:00
64,elonmusk,@stevenmarkryan Yes,9814,258,2023-05-10 15:04:53+00:00
65,elonmusk,@GavinSBaker True,1283,83,2023-05-10 15:04:42+00:00
66,elonmusk,@KanekoaTheGreat The list of who didn’t might be shorter,101805,10948,2023-05-10 15:04:00+00:00
67,elonmusk,@0xgaut 🤣 😬,2864,128,2023-05-10 15:02:56+00:00
68,elonmusk,"Also, which kind of bat – fruit eating bat or insect eating bat 🦇? https://t.co/C0uGcx7Y5U",167274,12756,2023-05-10 14:56:27+00:00
69,elonmusk,@BillyM2k Good for Tom Hanks! It’s time we all took a stand against other people deciding what should offend us!,83070,5800,2023-05-10 14:52:10+00:00
70,elonmusk,@DatChaosGuy 🤣🤣 same,3149,160,2023-05-10 14:49:34+00:00
71,elonmusk,@waitbutwhy Starlink is a new version of the Internet in space,12081,1141,2023-05-10 14:27:39+00:00
72,elonmusk,@ZubyMusic I subscribed!,5387,228,2023-05-10 08:08:45+00:00
73,elonmusk,"@Lukewearechange Yes, video is a primary focus",12630,811,2023-05-10 07:29:39+00:00
74,elonmusk,@KettlebellLife @alx The approver approvers,2697,160,2023-05-10 07:02:48+00:00
75,elonmusk,@Kristennetten @NationalParkFdn @BLMNational Sure,1660,92,2023-05-10 06:45:56+00:00
76,elonmusk,@WholeMarsBlog Increasingly possible,3060,214,2023-05-10 06:44:14+00:00
77,elonmusk,@ShannenPill It’s possible,5898,278,2023-05-10 06:41:02+00:00
78,elonmusk,"@stevenmarkryan Interesting idea, maybe jobs too",9765,578,2023-05-10 06:38:22+00:00
79,elonmusk,@historyinmemes This would be great,9094,237,2023-05-10 06:35:56+00:00
80,elonmusk,@whyvert Population collapse,16869,1339,2023-05-10 06:26:15+00:00
81,elonmusk,@financialjuice They are right,15664,714,2023-05-10 06:15:22+00:00
82,elonmusk,@KanekoaTheGreat @TheRabbitHole84 This is the same news org that claimed space flight was impossible … https://t.co/QZt1vbCU2o,5680,816,2023-05-10 06:13:53+00:00
83,elonmusk,"@TitterDaily Sophisticated, but easy to use, long form content",5802,356,2023-05-10 06:06:14+00:00
84,elonmusk,@billmaher Indeed,15587,792,2023-05-10 06:03:28+00:00
85,elonmusk,@farzyness lol,4972,218,2023-05-10 05:52:12+00:00
86,elonmusk,@thesheetztweetz @BryceSpaceTech Any given satellite communications system can be assessed in terms of useful data transmitted per ton times total tonnage in orbit,2118,182,2023-05-10 05:31:47+00:00
87,elonmusk,@growing_daniel @TitterDaily 😂,975,43,2023-05-10 05:25:09+00:00
88,elonmusk,@RubinReport Amazing,13265,689,2023-05-10 04:44:01+00:00
89,elonmusk,@TheBabylonBee 🤣,17821,608,2023-05-10 04:24:04+00:00
90,elonmusk,@DavidSacks Yup,3558,192,2023-05-10 04:20:15+00:00
91,elonmusk,@donlemon Have you considered doing your show on this platform? Maybe worth a try. Audience is much bigger.,4364,287,2023-05-10 04:17:47+00:00
92,elonmusk,@GadSaad @TuckerCarlson 🤣,4395,223,2023-05-10 04:14:55+00:00
93,elonmusk,@Jason So many stores have closed already,3285,202,2023-05-10 03:47:35+00:00
94,elonmusk,@EndWokeness Feels so long ago …,34093,1231,2023-05-10 03:45:18+00:00
95,elonmusk,@westcoastbill 🤣🤣,4227,169,2023-05-10 03:43:21+00:00
96,elonmusk,Congratulations Tesla Texas Team!! https://t.co/i3uZl0TZFw,62667,4891,2023-05-10 03:42:26+00:00
97,elonmusk,@growing_daniel 🤣,2926,127,2023-05-10 03:42:02+00:00
98,elonmusk,@krassenstein Totally agree!,3591,127,2023-05-10 03:39:42+00:00
99,elonmusk,"@JTLonsdale It’s bad enough already. If security guards can’t protect stores, offices, homes or themselves from violent criminals, who would remain in San Francisco?",28481,3653,2023-05-10 03:14:02+00:00
100,elonmusk,@alx 🤣,16033,613,2023-05-10 03:04:13+00:00
101,elonmusk,@TrungTPhan Gets me every time,3669,196,2023-05-10 02:07:17+00:00
102,elonmusk,https://t.co/Rm2WfVhy22,249323,19918,2023-05-10 02:04:35+00:00
103,elonmusk,@PicturesFoIder https://t.co/b2TOty50P4,43589,2003,2023-05-10 01:57:38+00:00
104,elonmusk,@alx [insert I can’t quit you meme],14476,867,2023-05-10 01:51:51+00:00
105,elonmusk,"With latest version of app, you can DM reply to any message in the thread (not just most recent) and use any emoji reaction. 

Release of encrypted DMs V1.0 should happen tomorrow. This will grow in sophistication rapidly. The acid test is that I could not see your DMs even if… https://t.co/96PRH0luJH",179884,25214,2023-05-09 23:50:26+00:00
106,elonmusk,"On this platform, unlike the one-way street of broadcast, people are able to interact, critique and refute whatever is said. 

And, of course, anything misleading will get @CommunityNotes. 

I also want to be clear that we have not signed a deal of any kind whatsoever. Tucker is… https://t.co/j8ZktN1u0h",300249,40096,2023-05-09 23:31:37+00:00
107,elonmusk,"@EdKrassen @TuckerCarlson On this platform, unlike the one-way street of broadcast, people are able to interact, critique and refute whatever he or anyone may say. 

And, of course, anything misleading will get @CommunityNotes. 

I also want to be clear that we have not signed a deal of any kind… https://t.co/PMeILJlNpM",44570,3252,2023-05-09 23:23:17+00:00
108,elonmusk,@JackPosobiec Coming,56272,3641,2023-05-09 23:07:46+00:00
109,elonmusk,"@TRHLofficial It might all be true, but such an incongruent set of claims deserves extreme scrutiny",9962,812,2023-05-09 17:45:30+00:00
110,elonmusk,@Not_the_Bee 😬,2542,153,2023-05-09 16:53:53+00:00
111,elonmusk,@MarcusHouse Awesome 😃,2250,122,2023-05-09 16:52:10+00:00
112,elonmusk,Yup https://t.co/UBEXs59I2s,43043,3951,2023-05-09 16:50:16+00:00
113,elonmusk,"@TRHLofficial Didn’t the story come from @bellingcat, which literally specializes in psychological operations?

I don’t want to hurt their feelings, but this is either the weirdest story ever or a very bad psyop!",18655,2718,2023-05-09 16:46:45+00:00
114,elonmusk,"@LibertyCappy @TRHLofficial Absolutely! America should be recruiting like a pro sports team, not making it insanely difficult for super talented people to become citizens.",25472,2123,2023-05-09 16:40:29+00:00
115,elonmusk,@fentasyl There is great danger to media stoking the fires of hatred,16612,2232,2023-05-09 16:38:09+00:00
116,elonmusk,@KTmBoyle @a16z Great!,1799,97,2023-05-09 16:35:55+00:00
117,elonmusk,@DimaZeniuk @Starlink @SpaceX @SpaceXStarlink @kerrikgray @JaneidyEve @Inelonwetrust__ @1stMarsColonist @helloitstanya98 @dvorahfr @captainarve @andst7 Cool,1401,82,2023-05-09 16:35:39+00:00
118,elonmusk,@cb_doge X,9064,619,2023-05-09 16:34:56+00:00
119,elonmusk,"Trust nothing, not even nothing",367594,58520,2023-05-09 16:34:15+00:00
120,elonmusk,"@gannonbreslin Yeah. 

Or that WhatsApp founders left Meta/Facebook in disgust, started #deletefacebook campaign &amp; made major contributions to building Signal. 

What they learned about Facebook &amp; changes to WhatsApp obviously disturbed them greatly.",31364,3320,2023-05-09 16:23:44+00:00
121,elonmusk,[correction: @wsj trailed by several years],10958,944,2023-05-09 16:17:34+00:00
