,user,text,favorite_count,retweet_count,created_at
24,SudhanshuTrived,From 6.05 to 6.50 pm I’m @aajtak,197,21,2023-04-26 12:28:14+00:00
25,SudhanshuTrived,"जो पूर्ण राज्य भी नहीं उसके CM आवास के VIP वैभव के बचाव में PM आवास की व्यवस्था से तुलना जहां SPG कवर व कई सिक्यूरिटी लेयर्स होती है,जो सुरक्षा की दृष्टि से दुनिया के सबसे संवेदनशील आवासों में से एक है उससे करना “बचकाना” है या “शातिराना” ये जनता स्व विवेक से तय करे https://t.co/hVIepQLJa4",10257,3007,2023-04-26 01:52:48+00:00
26,SudhanshuTrived,"एक पुराना शेर है

“ख़ुदा जब हुस्न देता है,
नज़ाकत आ ही जाती है,
कदम गिन-गिन के रखें पर
कमर बल खा ही जाती है”

ये अपने AAP को आम आदमी के इकलौते,सबसे अलग व नई राजनीति के प्रतिनिधि होने के दावेदार केजरीवाल जी के सरकारी आवास के VIP वैभव व उसे सही ठहराने के प्रयास पर सटीक बैठता है। https://t.co/jCASGXr5TW",7918,2390,2023-04-26 01:36:33+00:00
27,SudhanshuTrived,From 8 to 8.50 pm I’m @TNNavbharat,188,22,2023-04-25 14:22:59+00:00
28,SudhanshuTrived,From 9.05 to 9.40 pm I’m @TimesNow,168,19,2023-04-24 17:58:29+00:00
29,SudhanshuTrived,What @BJP4India Stands for under PM Sri @narendramodi ji is being reflected by our National President Sri @JPNadda ji https://t.co/h1iu2zzCoF,531,227,2023-04-24 15:03:55+00:00
30,SudhanshuTrived,"यूपी, बंगाल,बिहार तीनों में चाचा-भतीजा या बुआ-भतीजा राजनीति के परिणाम सुखद नहीं रहे हैं।
छोटे दल बिना किसी बड़े राष्ट्रीय दल के नेतृत्व के एकजुट नहीं रह सकते।
यहाँ बेमेल बात ये है कि राष्ट्रीय पार्टी कांग्रेस है जिनके नेता का कद छोटा है उधर क्षेत्रीय नेता बड़े पर पार्टियाँ छोटी https://t.co/vICl7ALwQs",4058,863,2023-04-24 14:25:40+00:00
31,SudhanshuTrived,From 5.05 to 5.45 pm I’m @ABPNews,160,17,2023-04-24 11:31:13+00:00
32,SudhanshuTrived,"Mantra of plan in advance plan in detail

प्रत्येक कार्य और कार्यक्रम की सघनता, विषय का अध्यन और बारीकी से अग्रिम तैयारी PM श्री @narendramodi जी के आचरण की अहम कड़ी है। उनकी यही विशेषता औरों से अलग अद्भुत कार्यकुशलता का प्रमाण है। https://t.co/Om3UmFjzqS",1050,399,2023-04-23 15:41:52+00:00
33,SudhanshuTrived,अक्षय तृतीया व भगवान परशुराम जयंती राष्ट्र व समाज के लिए अक्षय कल्याण की प्रेरक बने https://t.co/Na9b36bzYS,7276,692,2023-04-22 08:58:39+00:00
